participant,epochs,SAT,condition
S10,0,accuracy,Low
S10,1,accuracy,High
S10,2,accuracy,High
S10,3,accuracy,Low
S10,4,accuracy,Medium
S10,5,accuracy,Medium
S10,6,accuracy,High
S10,7,accuracy,Low
S10,8,accuracy,Low
S10,9,accuracy,High
S10,10,accuracy,Low
S10,11,accuracy,Low
S10,12,accuracy,Medium
S10,13,accuracy,Medium
S10,14,accuracy,Low
S10,15,accuracy,Medium
S10,16,accuracy,Low
S10,17,accuracy,Low
S10,18,accuracy,Low
S10,19,accuracy,Low
S10,20,accuracy,High
S10,21,accuracy,Low
S10,22,accuracy,Medium
S10,23,accuracy,Medium
S10,24,accuracy,Low
S10,25,accuracy,Low
S10,26,accuracy,Low
S10,27,accuracy,Low
S10,28,accuracy,High
S10,29,accuracy,Low
S10,30,accuracy,Low
S10,31,accuracy,Low
S10,32,accuracy,Low
S10,33,accuracy,High
S10,34,accuracy,Medium
S10,35,accuracy,Medium
S10,36,accuracy,Low
S10,37,accuracy,Low
S10,38,accuracy,Medium
S10,39,accuracy,High
S10,40,accuracy,Medium
S10,41,accuracy,Low
S10,42,accuracy,Low
S10,43,accuracy,Low
S10,44,accuracy,Low
S10,45,accuracy,Low
S10,46,accuracy,Low
S10,47,accuracy,Medium
S10,48,accuracy,Medium
S10,49,accuracy,Low
S10,50,accuracy,Low
S10,51,accuracy,Medium
S10,52,accuracy,Low
S10,53,accuracy,Medium
S10,54,accuracy,High
S10,55,accuracy,High
S10,56,accuracy,High
S10,57,accuracy,Medium
S10,58,accuracy,Low
S10,59,accuracy,Low
S10,60,accuracy,Medium
S10,63,accuracy,High
S10,64,accuracy,Medium
S10,65,accuracy,Low
S10,66,accuracy,Medium
S10,67,accuracy,High
S10,68,accuracy,Low
S10,69,accuracy,High
S10,70,accuracy,Low
S10,71,accuracy,Medium
S10,72,accuracy,High
S10,75,accuracy,Medium
S10,76,accuracy,Low
S10,77,accuracy,Medium
S10,78,accuracy,High
S10,79,accuracy,Medium
S10,80,accuracy,Low
S10,81,accuracy,Medium
S10,82,accuracy,High
S10,83,accuracy,Low
S10,84,accuracy,High
S10,85,accuracy,Medium
S10,86,accuracy,High
S10,87,accuracy,Medium
S10,88,accuracy,Medium
S10,89,accuracy,High
S10,90,accuracy,Medium
S10,91,accuracy,High
S10,92,accuracy,High
S10,93,accuracy,Low
S10,94,accuracy,Medium
S10,95,accuracy,Medium
S10,98,accuracy,High
S10,99,accuracy,Medium
S10,100,accuracy,Medium
S10,102,accuracy,High
S10,103,accuracy,Low
S10,104,accuracy,Low
S10,105,accuracy,High
S10,106,accuracy,High
S10,107,accuracy,High
S10,108,accuracy,Medium
